state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
0,0,0,1,0,1,0,0,290.331671
1,0,0,0,0,1,1,1,277.22005
1,0,0,0,0,1,1,0,306.048151
2,0,1,0,0,1,0,1,260.530392
1,0,1,0,0,1,1,0,280.086295
2,0,1,0,0,1,0,0,300.915751
3,0,1,0,0,1,0,0,315.735884
4,0,1,0,0,1,0,0,325.555978
5,0,1,0,0,1,0,2,344.791225
5,1,0,0,0,0,1,0,314.34187
6,1,0,0,1,0,0,3,318.467662
6,0,0,0,0,1,0,0,336.28306
7,0,0,0,0,1,1,0,352.825806
8,0,0,0,0,1,0,0,369.356257
9,0,0,0,0,1,0,0,382.136355
10,0,0,0,0,1,0,0,363.053125
11,0,0,0,0,1,1,0,391.536161
12,0,1,0,0,1,0,2,395.132415
12,1,1,1,0,0,0,2,412.080783
12,2,1,0,1,0,0,1,434.206529
11,2,0,0,0,1,1,1,414.759875
10,2,1,0,0,0,0,1,386.531946
9,2,1,0,0,0,0,0,407.86299
9,2,1,0,0,0,0,1,390.824842
8,2,1,0,0,0,0,2,403.394104
8,3,0,0,0,0,0,0,362.382307
9,3,0,0,0,0,0,3,379.116175
9,2,0,0,0,0,0,1,383.661112
8,2,0,0,0,0,0,0,423.091922
9,2,0,0,0,0,0,3,384.93589
9,1,0,0,0,0,0,0,403.348949
10,1,0,0,1,0,0,2,396.61755
10,2,0,0,0,0,0,2,375.056598
10,3,0,0,1,0,0,2,354.576874
10,4,0,0,0,0,0,2,364.095731
10,5,1,0,0,0,0,0,346.53365
11,5,1,0,0,0,1,0,352.088584
12,5,1,0,0,0,0,0,332.792644
13,5,1,0,0,1,1,0,318.341984
14,5,1,0,0,0,1,1,325.287128
13,5,1,0,0,1,1,1,351.354296
14,5,1,0,0,0,1,3,336.149847
14,4,1,1,1,0,0,3,355.676534
14,3,1,0,0,0,0,1,378.391116
13,3,0,0,0,1,1,1,347.664993
12,3,0,1,0,0,0,2,351.890644
12,4,0,0,1,0,0,2,372.030404
12,5,1,0,0,0,0,1,346.046768
12,5,1,0,0,0,0,3,365.864545
12,4,1,0,1,0,0,1,356.060225
11,4,1,0,0,1,0,2,346.514131
11,5,1,0,0,0,1,3,356.027973
11,5,1,0,0,0,1,1,365.800738
12,5,1,0,0,0,0,2,372.519866
12,6,1,1,1,0,0,2,393.743368
12,7,1,0,0,0,0,3,379.545412
12,7,1,0,0,0,0,1,419.099978
11,7,0,0,0,1,0,1,392.443394
10,7,0,0,0,0,0,2,414.252644
10,8,1,0,0,0,0,1,377.309283
9,8,1,0,0,0,0,1,369.80654
8,8,1,1,0,0,0,3,356.357796
8,7,1,0,0,0,0,1,347.889323
7,7,1,0,0,0,1,3,208.581713
7,6,0,1,0,0,0,3,319.528351
7,5,0,0,0,0,0,1,293.139061
6,5,0,0,0,1,1,1,286.157171
5,5,0,0,0,1,0,1,271.178769
4,5,0,0,0,0,1,1,268.140465
3,5,0,0,0,1,1,1,282.169819
2,5,1,0,0,0,0,0,282.459328
3,5,1,0,0,1,1,0,298.376173
4,5,1,0,0,0,1,3,315.132803
4,4,1,1,1,0,0,3,327.613731
4,3,1,0,0,0,0,0,344.475266
5,3,1,0,0,1,1,1,328.733434
4,3,1,0,0,0,0,1,332.832995
3,3,0,0,0,1,1,1,269.446919
2,3,0,1,0,0,0,3,270.668346
2,2,0,0,1,0,0,1,276.283151
1,2,0,0,0,1,1,0,272.477406
1,2,0,0,0,1,1,1,321.995224
0,2,1,1,0,0,0,0,327.711402
0,2,0,1,0,0,0,2,262.738357
0,3,0,1,1,0,0,2,258.670707
0,4,0,1,0,0,0,0,270.844584
1,4,0,0,0,1,0,1,258.773538
0,4,0,1,0,0,0,2,263.731328
0,5,1,1,0,0,0,0,266.913983
1,5,1,0,0,0,1,0,282.006925
2,5,1,0,0,0,0,1,267.003446
2,5,1,0,0,0,0,3,297.892693
2,4,1,0,1,0,0,1,280.01467
1,4,1,0,0,1,0,2,266.998158
2,5,1,0,0,0,0,2,287.615497
2,6,1,1,1,0,0,2,303.65793
2,7,1,0,0,0,0,1,320.662589
1,7,0,0,0,1,0,1,279.624023
0,7,0,1,0,0,0,2,298.521341
0,8,1,1,0,0,0,0,295.05813
1,8,1,0,0,0,0,2,280.94574
1,9,1,0,0,0,0,2,295.792505
1,10,1,0,0,0,1,1,280.545699
0,10,1,1,0,0,0,0,296.10432
1,10,1,0,0,0,1,0,312.401337
2,10,1,0,0,0,0,2,319.398709
2,11,1,1,0,0,0,0,333.060727
3,11,1,0,0,0,1,3,330.997337
3,10,1,0,0,0,0,0,349.717125
4,10,1,0,0,0,0,0,369.793856
5,10,1,0,0,0,0,2,390.687034
5,11,0,0,0,0,1,1,314.978099
4,11,0,0,0,0,0,1,296.864812
3,11,0,0,0,0,1,1,296.535254
2,11,0,1,0,0,0,3,328.087511
2,10,1,0,0,0,0,0,329.896144
3,10,1,0,0,0,0,3,313.458654
3,9,1,0,0,1,0,2,330.811816
3,10,1,0,0,0,0,2,337.950468
3,11,1,0,0,0,1,1,316.078243
2,11,1,1,0,0,0,2,322.765331
2,12,1,0,1,0,0,1,337.010231
1,12,0,0,0,1,1,1,301.310396
0,12,1,1,0,0,0,0,317.846226
1,12,1,0,0,1,1,0,323.121033
2,12,1,0,1,0,0,2,341.21848
2,13,1,1,0,0,0,0,364.225619
3,13,0,0,0,1,1,1,297.580516
2,13,0,1,0,0,0,2,312.754486
2,14,0,0,1,0,0,2,330.26238
2,15,1,0,0,0,0,1,292.475001
1,15,1,0,0,0,1,0,308.882472
1,15,1,0,0,0,1,3,308.918092
1,14,1,0,0,1,0,2,292.607254
2,15,1,0,0,0,0,2,292.120951
2,16,1,1,1,0,0,2,294.45941
